68,,,,,,,,,,TRUE,,
VP,KTRANS,KEP ,,,,,,,,VP,KTRANS,KEP 
0.085332,0.1741,0.066428,0.0624,0.050785,0.07186,1,,,,,,
0.25481,0.13871,0.11624,0.10811,0.12006,0.10455,1,,,,,,
0.062919,0.20871,0.16413,0.16578,0.055438,0.049498,1,,,,,,
0.10275,0.029781,0.081133,0.053626,0.03879,0.054367,1,,,,,,
0.029131,0.12652,0.054105,0.06189,0.080729,0.096375,1,,,,,,
0,0.05898,0.059536,0.091457,0.091991,0.094355,1,,,,,,
0,0.097229,0.042568,0.05476,0.089323,0.098364,1,,,,,,
0.07393,0.13572,0.069878,0.078547,0.091296,0.085565,1,,,,,,
0.15772,0.16024,0.015158,0.08195,0.087431,0.09463,1,,,,,,
0.12646,0.1165,0.094747,0.090109,0.1226,0.1294,1,,,,,,
0.37666,0.1986,0.085405,0.091864,0.085003,0.088968,1,,,,,,
0.067978,0.029258,0.059241,0.061367,0.079649,0.093357,1,,,,,,
0.17275,0.22189,0.12241,0.11063,0.10509,0.10544,1,,,,,,
0.14264,0.095248,0.061225,0.066502,0.068426,0.084416,1,,,,,,
0.11779,0.15768,0.13012,0.13329,0.138,0.090436,1,,,,,,
0.077356,0.11018,0.055903,0.062751,0.070023,0.07256,1,,,,,,
0.10242,0.1344,0.14466,0.15954,0.15707,0.15813,2,,,,,,
0.18062,0.15721,0.14669,0.13984,0.15603,0.17073,2,,,,,,
0.060586,0.049962,0.085278,0.095857,0.096831,0.10938,2,,,,,,
0.13794,0,0.088024,0.076863,0.095636,0.10005,2,,,,,,
0.1171,0,0.076495,0.06627,0.087942,0.10032,2,,,,,,
0.14636,0.11491,0.14449,0.14391,0.15682,0.15752,2,,,,,,
0.22786,0.015316,0.066299,0.10885,0.11915,0.13876,2,,,,,,
0.27556,0.067553,0.14276,0.12617,0.12976,0.13677,2,,,,,,
0.30309,0.33376,0.31857,0.23467,0.20073,0.17644,2,,,,,,
0.14089,0.18055,0.16052,0.18222,0.1628,0.14765,2,,,,,,
0.061341,0.063612,0.12259,0.1343,0.14414,0.13925,2,,,,,,
0.036161,0.066876,0.087273,0.097269,0.10178,0.11194,2,,,,,,
0.080801,0.046946,0.068491,0.087144,0.11265,0.13727,2,,,,,,
0.060228,0.094028,0.2591,0.28978,0.1779,0.11554,2,,,,,,
0.1604,0.1558,0.15853,0.18044,0.18007,0.15411,2,,,,,,
0.047977,0.192,0.18746,0.14505,0.10548,0.11146,2,,,,,,
0.37087,0.24884,0.2007,0.24473,0.23309,0.17719,2,,,,,,
0.14393,0.2077,0.21834,0.12226,0.11029,0.10379,2,,,,,,
0.22971,0.21119,0.25167,0.18244,0.18148,0.17954,3,,,,,,
0.038652,0.16869,0.17805,0.18675,0.19314,0.18294,3,,,,,,
0.15857,0.23651,0.22938,0.23304,0.22996,0.22612,3,,,,,,
0.16628,0.1718,0.14343,0.16799,0.1868,0.20542,3,,,,,,
0.36131,0.12455,0.21413,0.24746,0.23905,0.22389,3,,,,,,
0.52003,0.29957,0.20987,0.22254,0.22836,0.20742,3,,,,,,
0,0.23377,0.2236,0.18219,0.16939,0.15427,3,,,,,,
0.35269,0.0040503,0.12293,0.15646,0.15254,0.15951,3,,,,,,
0.29428,0.22512,0.13796,0.12777,0.14508,0.16398,3,,,,,,
0.3813,0.51497,0.38702,0.34102,0.30709,0.28033,3,,,,,,
0.26722,0.24366,0.26883,0.26332,0.22528,0.1545,3,,,,,,
0.32178,0.44083,0.53021,0.37513,0.25792,0.22011,3,,,,,,
0.24433,0.33765,0.31787,0.33641,0.33964,0.30278,3,,,,,,
0,0.11275,0.14181,0.1357,0.14277,0.15384,3,,,,,,
0.25955,0.3442,0.28007,0.23624,0.203,0.17809,3,,,,,,
0.26295,0.36918,0.39261,0.30357,0.21887,0.15666,3,,,,,,
0,0.053273,0.03417,0.063475,0.064881,0.069412,3,,,,,,
0.56843,0.67253,0.70899,0.76829,0.8144,0.80898,4,,,,,,
0.44503,0.55069,0.55187,0.48666,0.43431,0.44185,4,,,,,,
0.28468,0.42778,0.55852,0.58631,0.43994,0.30707,4,,,,,,
0.64323,0.70188,0.67065,0.60434,0.57006,0.56995,4,,,,,,
0.41736,0.2748,0.32752,0.34966,0.3207,0.27574,4,,,,,,
0.34291,0.41108,0.44792,0.42007,0.42829,0.43944,4,,,,,,
0.39244,0.15114,0.23877,0.26946,0.259,0.2263,4,,,,,,
0.63098,0.47058,0.38658,0.36274,0.36541,0.38191,4,,,,,,
0.76443,0.51695,0.44776,0.40127,0.33862,0.32447,4,,,,,,
0.38369,0.50826,0.60746,0.61186,0.55106,0.49065,4,,,,,,
0.25813,0.39124,0.46907,0.46532,0.41532,0.29678,4,,,,,,
0.24615,0.41943,0.5486,0.56559,0.53288,0.4611,4,,,,,,
0.37299,0.3179,0.18278,0.14842,0.16035,0.18429,4,,,,,,
0.34269,0.21215,0.32051,0.3686,0.39144,0.41254,4,,,,,,
0.83423,0.84791,0.55471,0.14863,0.1621,0.18938,4,,,,,,
0.28539,0.30184,0.30451,0.35028,0.36695,0.37083,4,,,,,,
0.19314,0.23193,0.27097,0.27858,0.27923,0.26809,4,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
VP,,,,,,,,,,,,
6,10,15,20,30,60,,,,,,,
0.000912571,0.000974134,0.001027475,0.001024748,0.000853678,0.000819013,,,,,,,
0.001336923,0.001395709,0.001415368,0.001240772,0.001200562,0.001201481,,,,,,,
0.001412196,0.001434138,0.001365146,0.00128829,0.001211816,0.001263942,,,,,,,
0.001668842,0.00163007,0.001462268,0.001481971,0.001534135,0.001621191,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
KTRANS,,,,,,,,,,,,
6,10,15,20,30,60,,,,,,,
0.000485158,0.000454712,0.000440884,0.000475073,0.000590921,0.000610813,,,,,,,
0.000609987,0.000580753,0.000666636,0.000826519,0.000842782,0.000833982,,,,,,,
0.000557156,0.000628704,0.000777082,0.000843966,0.000887596,0.000830979,,,,,,,
0.000857705,0.001030635,0.001276196,0.001269209,0.001204559,0.001278113,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kep,,,,,,,,,,,,
6,10,15,20,30,60,,,,,,,
0.115514125,0.128709125,0.079889188,0.085939563,0.085914625,0.088383813,,,,,,,
0.147451889,0.1183035,0.148681667,0.146397944,0.140453833,0.135905556,,,,,,,
0.226979529,0.240691959,0.239035882,0.221265,0.205014765,0.189341882,,,,,,,
0.435641176,0.43577,0.446893529,0.422710588,0.401768235,0.379374706,,,,,,,
,,,,,,,,,,,,
0.023887999,,,0.007783358,,,,,,,,,
0.022457527,,,0.008346507,,,,,,,,,
0.021769838,,,0.009026997,,,,,,,,,
0.021790893,,,0.007751907,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
132.0959666,,,,,,,,,,,,
104.440422,,,,,,,,,,,,
109.7473791,,,,,,,,,,,,
105.1068184,,,,,,,,,,,,
