True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.16378,0.14325,24.828,22.234,0.24828,0.22367,0.01,0.01006,12.54,9.91,0.60
0.1169,0.10616,12.498,11.306,0.12498,0.11175,0.01,0.0098839,9.19,10.59,1.16
0.095097,0.083711,8.8705,7.8201,0.088705,0.07978,0.01,0.010202,11.97,10.06,2.02
0.17129,0.15426,6.3744,5.6033,0.063744,0.057376,0.01,0.01024,9.94,9.99,2.40
0.097233,0.092492,29.166,25.955,0.29166,0.26232,0.01,0.010106,4.88,10.06,1.06
0.17395,0.16325,31.861,28.788,0.31861,0.28602,0.01,0.0099355,6.15,10.23,0.65
0.15611,0.13968,23.648,21.624,0.23648,0.21279,0.01,0.0098405,10.52,10.02,1.60
0.22447,0.20505,49.981,44.71,0.49981,0.44939,0.01,0.010051,8.65,10.09,0.51
0.051733,0.050001,35.096,31.704,0.35096,0.31504,0.01,0.009937,3.35,10.23,0.63
0.084767,0.087304,43.477,38.73,0.43477,0.3908,0.01,0.010091,2.99,10.11,0.91
0.29765,0.27627,49.302,43.009,0.49302,0.44438,0.01,0.010332,7.18,9.87,3.32
0.11736,0.10656,24.443,21.472,0.24443,0.22017,0.01,0.010254,9.20,9.93,2.54
0.25668,0.22856,13.771,12.625,0.13771,0.12317,0.01,0.0097557,10.96,10.56,2.44
0.22451,0.20157,14.296,12.741,0.14296,0.12841,0.01,0.010079,10.22,10.18,0.79
0.27279,0.24627,16.611,14.58,0.16611,0.14956,0.01,0.010258,9.72,9.96,2.58
0.11227,0.097132,44.8,39.963,0.448,0.40341,0.01,0.010094,13.48,9.95,0.94
0.28134,0.25611,47.925,43.686,0.47925,0.42892,0.01,0.0098182,8.97,10.50,1.82
0.10182,0.090346,17.784,15.788,0.17784,0.16008,0.01,0.010139,11.27,9.99,1.39
0.16313,0.1482,13.089,11.617,0.13089,0.11767,0.01,0.010129,9.15,10.10,1.29
0.098256,0.094119,38.59,34.466,0.3859,0.34654,0.01,0.010054,4.21,10.20,0.54
0.022499,0.019235,16.879,15.327,0.16879,0.15133,0.01,0.0098733,14.51,10.34,1.27
